0.453278 	-0.00074921 	0.00056449 	-5.64934e-19
0.465058 	-0.00154738 	0.00120416 	-2.24305e-19
0.480151 	-0.00165203 	0.00132869 	-4.10535e-19
0.499483 	-0.00148239 	0.00125586 	1.25091e-20
0.524238 	-0.00106237 	0.00104982 	1.22987e-19
0.555926 	-0.000269988 	0.00068305 	6.85284e-20
0.582573 	0.000568342 	0.000324284 	-6.50938e-20
0.605347 	0.00140619 	-7.04526e-06 	-1.56111e-19
0.648389 	0.00314983 	-0.000620493 	-1.08934e-19
0.714713 	0.00599385 	-0.00145334 	1.99e-19
0.799372 	0.00945457 	-0.0022108 	-9.20811e-20
0.907309 	0.0132154 	-0.00272475 	8.35786e-20
1.04474 	0.0169564 	-0.00289569 	-3.47995e-20
1.21944 	0.0204565 	-0.00271043 	-3.50148e-21
1.44111 	0.0235909 	-0.00223243 	2.25028e-20
1.7218 	0.0263063 	-0.00161481 	5.14183e-23
2.00964 	0.0281918 	-0.0011052 	-2.22351e-20
2.24271 	0.0293703 	-0.00076105 	2.59185e-20
2.42411 	0.0300577 	-0.000554744 	8.12311e-22
2.56536 	0.0304033 	-0.000420331 	9.78785e-22
2.67539 	0.0304885 	-0.00032802 	2.36084e-20
2.76112 	0.0303509 	-0.000262822 	-2.85541e-20
2.82794 	0.0299941 	-0.000216231 	3.0758e-22
2.88001 	0.0293892 	-0.000182275 	-1.19801e-22
2.92061 	0.0284555 	-0.000155089 	-2.41544e-21
2.95226 	0.0270068 	-0.000127974 	-3.91213e-21
2.97694 	0.024715 	-9.53911e-05 	-1.66595e-21
2.99618 	0.0212363 	-5.83132e-05 	3.21125e-21
3.01118 	0.0163513 	-2.76998e-05 	2.02183e-21
3.02288 	0.00997095 	-7.41504e-06 	-2.34866e-21
